title,app_id
theHunter Classic,253710
Dystopika,2379910
Ultimate Epic Battle Simulator 2,1468720
Trans-Siberian Railway Simulator,998400
Kynseed,758870
Viscera Cleanup Detail,246900
Old World,597180
F1® Manager 2024,2591280
Atelier Ayesha: The Alchemist of Dusk DX,1152300
Expansion - Hearts of Iron IV: Arms Against Tyranny,2183930
Sky Rogue,381020
TrackDayR,1511630
Expansion - Hearts of Iron IV: By Blood Alone,1880650
Retro Gadgets,1730260
WHAT THE BAT?,2012100
Sky Haven Tycoon - Airport Simulator,674090
F1® 24,2488620
Car Mechanic Simulator 2021 - Dodge | Plymouth | Chrysler Remastered DLC,2464230
All Quiet in the Trenches,863500
X-Plane 12,2014780
Oxygen Not Included,457140
Fishing Planet: Sailor Collection Pack,2922520
War Thunder - F-20A Tigershark Pack,2825820
The Sims™ 4 Parenthood,1235745
Untitled Goose Game,837470
Soulash 2,2399160
Besiege,346010
DCS: F-16C Viper,1090850
Tower! Simulator 3 - EKCH Airport,2800220
Escape Simulator,1435790
Class of '09,1443200
Timberborn,1062090
Crusader Kings III: Legacy of Persia,2313540
Jumplight Odyssey,1893820
Drug Lord Tycoon,2450700
Assassin’s Creed® Rogue,311560
Nexomon: Extinction,1196630
Train Valley World,2244470
Forza Motorsport,2440510
EA SPORTS™ Madden NFL 25,2582560
Steel Division 2 - Death on the Vistula,1165510
Out of Ore,2009350
Immersion Pack - Europa Universalis IV: King of Kings,2502910
Going Medieval,1029780
Yu-Gi-Oh! Duel Links,601510
Crusader Kings II,203770
Volcanoids,951440
American Truck Simulator - Arkansas,2585150
Pacific Drive,1458140
My Time at Sandrock,1084600
Land of the Vikings,1981570
Stellaris: First Contact Story Pack,2277860
News Tower,1649950
Rooftops & Alleys: The Parkour Game,2703850
HARD BULLET,1294760
theHunter: Call of the Wild™ - Emerald Coast Australia,2383430
Paleo Pines,1202200
Assetto Corsa - Dream Pack 2,404430
Goat Simulator 3,850190
Frostpunk,323190
Expansion - Hearts of Iron IV: No Step Back,1348661
DAVE THE DIVER,1868140
Clanfolk,1700870
The Sims™ 4 My Wedding Stories Game Pack,1621460
Supermarket Together,2709570
Gas Station Simulator - Tidal Wave DLC,2600880
Supermarket Together - The Cool Pack,3146530
Junkyard Truck,1697880
No Man's Sky,275850
Assetto Corsa Competizione - GT4 Pack,1337860
Squirrel with a Gun,2067050
Chef RPG,1796790
Counter-Strike: Source,240
War Thunder - Al-Khalid-I Pack,3209370
Automation - The Car Company Tycoon Game,293760
Stellaris: Nemesis,1522090
Assetto Corsa - Ferrari 70th Anniversary Pack,675590
War Thunder - F-4S Phantom II Pack,2315421
Galaxy Burger,2749770
Train Sim World® 5: BR Class 33 Add-On,2969450
Assetto Corsa - Dream Pack 1,347990
Train Sim World® 5,2967990
Tactics Ogre: Reborn,1451090
Pinball FX3,442120
Crusader Kings III: Tours & Tournaments,2311920
TerraScape,2290000
Symphony of War: The Nephilim Saga - Legends,2432430
Little Witch in the Woods,1594940
WolfQuest: Anniversary Edition,926990
Old School Rally,2824660
AdVenture Capitalist,346900
THE GAME OF LIFE,403120
Elite Dangerous,359320
"Good Pizza, Great Pizza - Cooking Simulator Game",770810
Tropico 4,57690
Total War: MEDIEVAL II – Definitive Edition,4700
