Topics,Coherence
2,0.38640582202198726
3,0.3966794704245267
4,0.4169414508630601
5,0.438238162594596
6,0.4171236396003312
7,0.38850714408547443
8,0.3953023340119257
9,0.4034833277535619
10,0.4216649251913974
11,0.4303962795924266
12,0.4555416730731285
13,0.4471651955667316
14,0.437755033663083
15,0.44844232419212404
